modelo;codigo;color;sku;talle;stock;categoria;producto
Aviador 3449;004/71;Gunmetal/verde;100168;Standard (59-14);POCO STOCK;AVIADOR;ANTEOJOS
Aviador 3449;9043/30;Plateado/verde espejado;100169;Standard (59-14);POCO STOCK;AVIADOR;ANTEOJOS
Aviador Classic 3025;001/4a;Dorado/amarillo traslucido;100103;Standard (58-14);STOCK;AVIADOR;ANTEOJOS
Aviador Classic 3025;001/3f;Dorado/azul degrade;100101;Small (55-14);POR ENTRAR;AVIADOR;ANTEOJOS
Aviador Classic 3025;001/3f;Dorado/azul degrade;100101;Standard (58-14);STOCK;AVIADOR;ANTEOJOS
Aviador Classic 3025;001/3f;Dorado/azul degrade;100101;Large (62-14);STOCK;AVIADOR;ANTEOJOS
Aviador Classic 3025;001/62;Dorado/celeste;100112;Standard (58-14);POR ENTRAR;AVIADOR;ANTEOJOS
Aviador Classic 3025;001/3e;Dorado/marron;100102;Standard (58-14);CONSULTAR;AVIADOR;ANTEOJOS
Aviador Classic 3025;001/51;Dorado/marron degrade;100098;Small (55-14);STOCK;AVIADOR;ANTEOJOS
Aviador Classic 3025;001/51;Dorado/marron degrade;100098;Standard (58-14);STOCK;AVIADOR;ANTEOJOS
Aviador Classic 3025;001/51;Dorado/marron degrade;100098;Large (62-14);CONSULTAR;AVIADOR;ANTEOJOS
Aviador Classic 3025;001/33;Dorado/marron liso;100099;Small (55-14);CONSULTAR;AVIADOR;ANTEOJOS
Aviador Classic 3025;001/33;Dorado/marron liso;100099;Standard (58-14);STOCK;AVIADOR;ANTEOJOS
Aviador Classic 3025;001/33;Dorado/marron liso;100099;Large (62-14);POR ENTRAR;AVIADOR;ANTEOJOS
Aviador Classic 3025;001/4B;Dorado/rosa;100100;Standard (58-14);POR ENTRAR;AVIADOR;ANTEOJOS
Aviador Classic 3025;W3234;Dorado/verde;100097;Small (55-14);STOCK;AVIADOR;ANTEOJOS
Aviador Classic 3025;L0205;Dorado/verde;100097;Standard (58-14);STOCK;AVIADOR;ANTEOJOS
Aviador Classic 3025;L2846;Dorado/verde;100097;Large (62-14);STOCK;AVIADOR;ANTEOJOS
Aviador Classic 3025;001/14;Dorado/verde traslucido;;Standard (58-18);POCO STOCK;AVIADOR;ANTEOJOS
Aviador Classic 3025;004/51;Gunmetal/marron degrade;100110;Small (55-14);STOCK;AVIADOR;ANTEOJOS
Aviador Classic 3025;004/51;Gunmetal/marron degrade;100110;Standard (58-14);STOCK;AVIADOR;ANTEOJOS
Aviador Classic 3025;004/51;Gunmetal/marron degrade;100110;Large (62-14);POR ENTRAR;AVIADOR;ANTEOJOS
Aviador Classic 3025;W0879;Gunmetal/verde;100109;Standard (58-14);STOCK;AVIADOR;ANTEOJOS
Aviador Classic 3025;002/32;Negro/gris degrade;100107;Standard (58-14);POR ENTRAR;AVIADOR;ANTEOJOS
Aviador Classic 3025;W3235;Negro/verde;100108;Small (55-14);STOCK;AVIADOR;ANTEOJOS
Aviador Classic 3025;L2823;Negro/verde;100108;Standard (58-14);STOCK;AVIADOR;ANTEOJOS
Aviador Classic 3025;L2821;Negro/verde;100108;Large (62-14);CONSULTAR;AVIADOR;ANTEOJOS
Aviador Classic 3025;003/32;Plateado/gris degrade;100105;Small (55-14);STOCK;AVIADOR;ANTEOJOS
Aviador Classic 3025;003/32;Plateado/gris degrade;100105;Standard (58-14);STOCK;AVIADOR;ANTEOJOS
Aviador Classic 3025;003/32;Plateado/gris degrade;100105;Large (62-14);STOCK;AVIADOR;ANTEOJOS
Aviador Classic 3025;003;Plateado/verde;100104;Small (55-14);STOCK;AVIADOR;ANTEOJOS
Aviador Classic 3025;003;Plateado/verde;100104;Standard (58-14);STOCK;AVIADOR;ANTEOJOS
Aviador Classic 3025;003;Plateado/verde;100104;Large (62-14);POR ENTRAR;AVIADOR;ANTEOJOS
Aviador Classic 3025;088/3f;Violeta/azul degrade;100111;Large (62-14);STOCK;AVIADOR;ANTEOJOS
Aviador Espejado 3025;112/17;Dorado/azul espejado;100116;Small (55-14);CONSULTAR;AVIADOR;ANTEOJOS
Aviador Espejado 3025;112/17;Dorado/azul espejado;100116;Standard (58-14);POR ENTRAR;AVIADOR;ANTEOJOS
Aviador Espejado 3025;112/69;Dorado/naranja espejado;100113;Small (55-14);STOCK;AVIADOR;ANTEOJOS
Aviador Espejado 3025;112/69;Dorado/naranja espejado;100113;Standard (58-14);STOCK;AVIADOR;ANTEOJOS
Aviador Espejado 3025;112/69;Dorado/naranja espejado;100113;Large (62-14);CONSULTAR;AVIADOR;ANTEOJOS
